Precinct,Registered_Voters_x,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll_x,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,Rehmet_Pct,Wambsganss_Pct,Registered_Voters_y,Absentee_KellyHancock,Early_KellyHancock,Election_KellyHancock,TotalVotes_KellyHancock,Absentee_GwennBurud,Early_GwennBurud,Election_GwennBurud,TotalVotes_GwennBurud,TotalVotesAll_y,Hancock_Pct,Burud_Pct,Margin_2026,Margin_2022,Margin_Shift,Dem_Vote_Change
1062,25,0,1,4,5,0,0,1,1,6,1062,439,TARRANT,439,2201062,7916,24,18,6,1,0,5,5,20,18,2,0,0,2,2,Taylor Rehmet,83.33333333333334,16.666666666666664,26,0,3,2,5,0,4,6,10,15,33.33333333333333,66.66666666666666,66.66666666666669,33.33333333333333,33.33333333333336,16.666666666666686
1064,0,0,0,0,0,0,0,0,0,0,1064,439,TARRANT,439,2201064,7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1066,985,2,29,49,80,0,5,14,19,99,1066,439,TARRANT,439,2201066,7918,2444,511,1933,66,497,1369,1843,1776,452,1324,55,381,879,1244,Taylor Rehmet,80.8080808080808,19.19191919191919,998,1,47,56,104,10,112,106,228,332,31.32530120481928,68.67469879518072,61.61616161616161,37.349397590361434,24.266764025800178,12.133382012900086
1075,1050,1,14,37,52,0,3,3,6,58,1075,439,TARRANT,439,2201075,7921,2626,260,2366,28,313,2021,2313,1859,219,1640,16,264,1364,1613,Taylor Rehmet,89.65517241379311,10.344827586206897,1043,1,38,25,64,2,79,78,159,223,28.699551569506728,71.30044843049326,79.31034482758622,42.60089686098654,36.70944796659968,18.35472398329985
1076,1107,9,146,162,317,0,29,55,84,401,1076,439,TARRANT,439,2201076,7922,1454,1133,321,49,104,150,249,1117,887,230,29,82,107,184,Taylor Rehmet,79.05236907730672,20.947630922693268,1104,8,177,105,290,21,282,116,419,709,40.90267983074753,59.09732016925246,58.10473815461346,18.194640338504932,39.910097816108525,19.95504890805426
1082,684,2,31,43,76,0,4,9,13,89,1082,439,TARRANT,439,2201082,7927,1633,349,1284,66,90,1116,1194,1200,290,910,51,46,789,834,Taylor Rehmet,85.39325842696628,14.606741573033707,654,2,44,37,83,8,67,65,140,223,37.219730941704036,62.78026905829597,70.78651685393258,25.560538116591935,45.22597873734065,22.612989368670313
1088,1357,1,18,50,69,0,9,6,15,84,1088,439,TARRANT,439,2201088,7931,3747,264,3483,36,456,2973,3411,2595,225,2370,28,341,1974,2306,Taylor Rehmet,82.14285714285714,17.857142857142858,1294,0,40,44,84,5,129,146,280,364,23.076923076923077,76.92307692307693,64.28571428571428,53.846153846153854,10.439560439560424,5.219780219780205
1094,1743,4,76,145,225,0,17,21,38,263,1094,439,TARRANT,439,2201094,7934,3103,1266,1837,121,495,1185,1663,2595,1172,1423,108,379,888,1257,Taylor Rehmet,85.55133079847909,14.44866920152091,1766,7,129,92,228,21,312,169,502,730,31.232876712328768,68.76712328767123,71.10266159695817,37.53424657534246,33.568415021615714,16.78420751080786
1108,1724,6,152,198,356,3,37,98,138,494,1108,439,TARRANT,439,2201108,7942,2676,2058,618,119,96,353,446,2193,1733,460,95,77,250,324,Taylor Rehmet,72.06477732793523,27.93522267206478,1832,7,272,189,468,33,353,180,566,1034,45.26112185686654,54.73887814313346,44.12955465587045,9.477756286266924,34.651798369603526,17.32589918480177
1109,1611,3,48,107,158,1,10,21,32,190,1109,439,TARRANT,439,2201109,7943,3437,668,2769,117,185,2431,2609,2598,608,1990,92,147,1716,1857,Taylor Rehmet,83.15789473684211,16.842105263157894,1486,1,90,100,191,7,192,138,337,528,36.17424242424242,63.82575757575758,66.31578947368422,27.651515151515156,38.664274322169064,19.332137161084532
1111,4070,4,157,201,362,1,159,137,297,659,1111,439,TARRANT,439,2201111,7944,2522,1949,573,148,127,252,371,1736,1380,356,98,71,153,223,Taylor Rehmet,54.93171471927162,45.068285280728375,4393,36,1416,540,1992,26,467,197,690,2682,74.27293064876957,25.727069351230426,9.863429438543243,-48.54586129753915,58.40929073608239,29.20464536804119
1146,2494,13,156,207,376,2,28,57,87,463,1146,439,TARRANT,439,2201146,7953,4050,1402,2648,141,1576,905,2420,3095,1221,1874,102,1130,603,1699,Taylor Rehmet,81.20950323974083,18.790496760259177,2506,13,244,160,417,27,587,219,833,1250,33.36,66.64,62.41900647948165,33.28,29.13900647948165,14.569503239740826
1151,1154,4,48,65,117,2,25,22,49,166,1151,439,TARRANT,439,2201151,7956,2565,687,1878,81,1365,411,1758,1916,598,1318,70,951,273,1220,Taylor Rehmet,70.48192771084338,29.518072289156628,1265,7,124,90,221,22,201,110,333,554,39.891696750902526,60.108303249097474,40.96385542168675,20.21660649819495,20.747248923491803,10.373624461745905
1170,2841,16,182,207,405,5,49,47,101,506,1170,439,TARRANT,439,2201170,7961,5102,1598,3504,203,1239,2012,3198,3750,1386,2364,132,876,1289,2142,Taylor Rehmet,80.03952569169961,19.960474308300398,2825,17,249,201,467,29,550,261,840,1307,35.730680948737565,64.26931905126243,60.07905138339921,28.538638102524864,31.540413280874347,15.77020664043718
1175,2639,2,64,122,188,0,49,34,83,271,1175,439,TARRANT,439,2201175,7962,3312,1155,2157,784,689,632,1298,2397,891,1506,567,452,428,868,Taylor Rehmet,69.37269372693727,30.627306273062732,2195,3,279,171,453,13,364,188,565,1018,44.49901768172888,55.50098231827112,38.74538745387454,11.00196463654224,27.743422817332302,13.871711408666151
1197,2109,5,55,112,172,0,37,56,93,265,1197,439,TARRANT,439,2201197,7967,2924,1493,1431,482,425,477,878,2101,1084,1017,366,301,312,601,Taylor Rehmet,64.90566037735849,35.094339622641506,4250,11,590,410,1011,20,714,304,1038,2049,49.341142020497806,50.658857979502194,29.81132075471698,1.3177159590043885,28.493604795712592,14.246802397856293
1198,595,0,10,27,37,0,0,8,8,45,1198,439,TARRANT,439,2201198,7968,1507,295,1212,73,54,1073,1125,1071,250,821,53,32,725,755,Taylor Rehmet,82.22222222222221,17.77777777777778,554,0,33,37,70,1,41,32,74,144,48.61111111111111,51.388888888888886,64.44444444444443,2.7777777777777786,61.66666666666665,30.83333333333333
1199,435,3,21,28,52,1,34,21,56,108,1199,439,TARRANT,439,2201199,7969,424,288,136,22,46,55,101,369,261,108,19,44,35,79,Leigh Wambsganss,48.148148148148145,51.85185185185185,438,7,112,41,160,7,81,27,115,275,58.18181818181818,41.81818181818181,-3.7037037037037024,-16.363636363636367,12.659932659932664,6.329966329966332
1206,2753,3,133,103,239,3,121,82,206,445,1206,439,TARRANT,439,2201206,7970,3937,2916,1021,71,128,691,806,3105,2427,678,51,83,434,512,Taylor Rehmet,53.70786516853933,46.29213483146067,2742,22,680,228,930,32,341,101,474,1404,66.23931623931624,33.76068376068376,7.4157303370786565,-32.47863247863248,39.89436281571113,19.947181407855567
1208,2252,3,113,82,198,7,129,95,231,429,1208,439,TARRANT,439,2201208,7972,2649,2038,611,118,127,280,396,2055,1638,417,87,96,176,267,Leigh Wambsganss,46.15384615384615,53.84615384615385,2117,26,684,260,970,10,312,68,390,1360,71.32352941176471,28.676470588235293,-7.692307692307693,-42.64705882352942,34.95475113122173,17.47737556561086
1227,1618,5,29,82,116,1,6,23,30,146,1227,439,TARRANT,439,2201227,7974,3169,611,2558,353,1622,608,2168,2263,497,1766,246,1120,412,1495,Taylor Rehmet,79.45205479452055,20.54794520547945,1564,2,113,65,180,25,242,138,405,585,30.76923076923077,69.23076923076923,58.9041095890411,38.46153846153845,20.442571127502646,10.221285563751323
1236,601,5,48,80,133,2,16,18,36,169,1236,439,TARRANT,439,2201236,7975,1075,563,512,28,125,343,456,860,489,371,20,108,226,325,Taylor Rehmet,78.69822485207101,21.301775147928996,609,6,70,56,132,10,133,64,207,339,38.93805309734513,61.06194690265486,57.396449704142015,22.123893805309727,35.27255589883229,17.636277949416147
1277,1349,6,112,113,231,5,44,60,109,340,1277,439,TARRANT,439,2201277,7988,1943,992,951,81,523,301,810,1641,910,731,71,363,240,599,Taylor Rehmet,67.94117647058823,32.05882352941177,1422,22,193,138,353,38,275,107,420,773,45.66623544631307,54.33376455368693,35.882352941176464,8.667529107373866,27.214823833802598,13.607411916901299
1337,2706,7,153,144,304,6,119,138,263,567,1337,439,TARRANT,439,2201337,8002,3264,2515,749,77,144,415,546,2605,2089,516,58,101,274,370,Taylor Rehmet,53.61552028218695,46.38447971781305,2644,39,748,280,1067,37,395,134,566,1633,65.3398652786283,34.66013472137171,7.231040564373899,-30.679730557256583,37.91077112163048,18.955385560815238
1376,110,0,0,0,0,0,2,0,2,2,1376,439,TARRANT,439,2201376,8011,4116,1779,2337,3,1601,767,2333,4086,1779,2307,3,1577,761,2303,Leigh Wambsganss,0.0,100.0,84,1,3,1,5,0,2,1,3,8,62.5,37.5,-100.0,-25.0,-75.0,-37.5
1408,284,0,6,15,21,0,0,3,3,24,1408,439,TARRANT,439,2201408,8020,372,128,244,7,15,204,219,311,113,198,5,12,169,181,Taylor Rehmet,87.5,12.5,289,0,23,17,40,5,31,48,84,124,32.25806451612903,67.74193548387096,75.0,35.48387096774193,39.51612903225807,19.75806451612904
1415,1760,1,25,68,94,1,4,16,21,115,1415,439,TARRANT,439,2201415,8023,5020,545,4475,116,1609,2735,4283,3461,482,2979,85,1127,1713,2823,Taylor Rehmet,81.73913043478261,18.26086956521739,1877,6,64,56,126,10,187,133,330,456,27.631578947368425,72.36842105263158,63.47826086956522,44.73684210526315,18.741418764302068,9.370709382151034
1416,156,2,20,15,37,0,6,12,18,55,1416,439,TARRANT,439,2201416,8024,228,117,111,4,17,91,105,181,102,79,2,13,65,75,Taylor Rehmet,67.27272727272727,32.72727272727273,161,0,24,15,39,1,38,16,55,94,41.48936170212766,58.51063829787234,34.54545454545454,17.02127659574468,17.52417794970986,8.762088974854926
1420,0,0,0,0,0,0,0,0,0,0,1420,439,TARRANT,439,2201420,8026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1430,11,0,1,1,2,0,0,0,0,2,1430,439,TARRANT,439,2201430,8030,28,4,24,3,7,14,21,21,2,19,1,7,11,18,Taylor Rehmet,100.0,0.0,14,0,1,0,1,0,2,0,2,3,33.33333333333333,66.66666666666666,100.0,33.33333333333333,66.66666666666667,33.33333333333334
1434,0,0,0,0,0,0,0,0,0,0,1434,439,TARRANT,439,2201434,8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1437,600,1,24,38,63,0,16,18,34,97,1437,439,TARRANT,439,2201437,8034,975,400,575,73,153,343,486,759,354,405,56,121,215,332,Taylor Rehmet,64.94845360824742,35.051546391752574,618,4,119,60,183,12,122,40,174,357,51.26050420168067,48.739495798319325,29.896907216494846,-2.5210084033613427,32.41791561985619,16.208957809928094
1455,0,0,0,0,0,0,0,0,0,0,1455,439,TARRANT,439,2201455,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,1,1,0,0,0,0,1,100.0,0.0,0,-100.0,100.0,0.0
1457,2,0,0,0,0,0,0,0,0,0,1457,439,TARRANT,439,2201457,8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,2,0,0,0,0,1,0,0,1,1,0.0,100.0,0,100.0,-100.0,-100.0
1460,2717,6,51,120,177,1,19,23,43,220,1460,439,TARRANT,439,2201460,8043,7568,1137,6431,233,4658,1531,6091,5579,1023,4556,178,3289,1065,4297,Taylor Rehmet,80.45454545454545,19.545454545454547,3239,8,128,104,240,21,411,241,673,913,26.286966046002192,73.71303395399781,60.90909090909091,47.426067907995616,13.48302300109529,6.741511500547645
1473,355,0,7,16,23,0,4,1,5,28,1473,439,TARRANT,439,2201473,8046,382,73,309,7,6,293,298,260,59,201,6,4,189,192,Taylor Rehmet,82.14285714285714,17.857142857142858,272,0,19,18,37,0,39,27,66,103,35.92233009708738,64.07766990291263,64.28571428571428,28.15533980582525,36.13037447988903,18.065187239944507
1476,150,0,4,10,14,0,0,0,0,14,1476,439,TARRANT,439,2201476,8047,360,61,299,4,16,282,294,247,57,190,2,12,175,185,Taylor Rehmet,100.0,0.0,139,1,8,9,18,0,9,13,22,40,45.0,55.00000000000001,100.0,10.000000000000007,90.0,44.99999999999999
1479,277,0,8,10,18,0,2,1,3,21,1479,439,TARRANT,439,2201479,8049,507,69,438,10,87,341,420,368,62,306,10,77,217,289,Taylor Rehmet,85.71428571428571,14.285714285714285,248,2,9,11,22,1,32,23,56,78,28.205128205128204,71.7948717948718,71.42857142857142,43.58974358974359,27.838827838827825,13.919413919413913
1490,669,0,20,28,48,0,7,15,22,70,1490,439,TARRANT,439,2201490,8053,1377,369,1008,76,757,168,914,1058,316,742,63,550,127,666,Taylor Rehmet,68.57142857142857,31.428571428571427,701,1,50,26,77,8,99,39,146,223,34.52914798206278,65.47085201793722,37.14285714285714,30.941704035874437,6.2011531069827015,3.1005765534913508
1491,5,0,0,0,0,0,0,0,0,0,1491,439,TARRANT,439,2201491,8054,20,8,12,0,6,9,12,13,8,5,0,3,4,5,Tie,0,0,4,0,0,0,0,0,2,0,2,2,0.0,100.0,0,100.0,-100.0,-100.0
1544,11,0,0,0,0,0,0,0,0,0,1544,439,TARRANT,439,2201544,8061,26,5,21,0,0,20,20,23,5,18,0,0,17,17,Tie,0,0,10,0,0,0,0,0,1,3,4,4,0.0,100.0,0,100.0,-100.0,-100.0
1547,0,0,0,0,0,0,0,0,0,0,1547,439,TARRANT,439,2201547,8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1549,0,0,0,0,0,0,0,0,0,0,1549,439,TARRANT,439,2201549,8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1550,40,0,2,0,2,0,0,0,0,2,1550,439,TARRANT,439,2201550,8064,73,3,70,1,22,47,69,45,3,42,0,16,25,41,Taylor Rehmet,100.0,0.0,41,0,0,0,0,0,10,3,13,13,0.0,100.0,100.0,100.0,0.0,0.0
1586,11,0,0,0,0,0,0,0,0,0,1586,439,TARRANT,439,2201586,8071,32,0,32,6,15,8,23,24,0,24,5,11,5,16,Tie,0,0,13,0,1,0,1,0,0,1,1,2,50.0,50.0,0,0.0,0.0,-50.0
1589,298,0,9,16,25,0,1,6,7,32,1589,439,TARRANT,439,2201589,8072,377,169,208,69,87,53,135,317,155,162,49,76,38,112,Taylor Rehmet,78.125,21.875,237,0,22,17,39,0,28,27,55,94,41.48936170212766,58.51063829787234,56.25,17.02127659574468,39.22872340425532,19.61436170212766
1607,0,0,0,0,0,0,0,0,0,0,1607,439,TARRANT,439,2201607,8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1608,889,3,115,183,301,2,17,67,86,387,1608,439,TARRANT,439,2201608,8078,1158,844,314,25,33,238,270,894,675,219,18,21,163,183,Taylor Rehmet,77.77777777777779,22.22222222222222,908,5,104,115,224,9,227,127,363,587,38.16013628620102,61.839863713798984,55.555555555555564,23.67972742759796,31.875828127957604,15.937914063978802
1610,37,0,0,5,5,0,0,3,3,8,1610,439,TARRANT,439,2201610,8079,74,34,40,4,10,26,36,47,23,24,4,10,10,20,Taylor Rehmet,62.5,37.5,34,2,13,0,15,1,9,2,12,27,55.55555555555556,44.44444444444444,25.0,-11.111111111111114,36.111111111111114,18.055555555555557
1611,21,0,1,1,2,0,0,2,2,4,1611,439,TARRANT,439,2201611,8080,36,9,27,0,0,27,27,26,4,22,0,0,22,22,Tie,50.0,50.0,24,0,0,3,3,0,3,1,4,7,42.857142857142854,57.14285714285714,0.0,14.285714285714285,-14.285714285714285,-7.142857142857139
1617,40,0,2,3,5,0,0,2,2,7,1617,439,TARRANT,439,2201617,8081,88,28,60,0,3,48,51,68,26,42,0,2,31,33,Taylor Rehmet,71.42857142857143,28.57142857142857,42,0,6,3,9,1,6,3,10,19,47.368421052631575,52.63157894736842,42.85714285714286,5.2631578947368425,37.59398496240602,18.796992481203013
1622,49,0,1,1,2,0,0,0,0,2,1622,439,TARRANT,439,2201622,8084,62,22,40,8,7,22,29,45,16,29,8,7,11,18,Taylor Rehmet,100.0,0.0,51,0,14,3,17,0,6,2,8,25,68.0,32.0,100.0,-36.0,136.0,68.0
1623,1,0,0,0,0,0,0,0,0,0,1623,439,TARRANT,439,2201623,8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1625,0,0,0,0,0,0,0,0,0,0,1625,439,TARRANT,439,2201625,8086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1633,31,0,0,4,4,0,0,2,2,6,1633,439,TARRANT,439,2201633,8089,75,31,44,0,0,41,41,66,28,38,0,0,38,38,Taylor Rehmet,66.66666666666666,33.33333333333333,35,0,3,6,9,0,5,4,9,18,50.0,50.0,33.33333333333333,0.0,33.33333333333333,16.666666666666657
1672,0,0,0,0,0,0,0,0,0,0,1672,439,TARRANT,439,2201672,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1674,0,0,0,0,0,0,0,0,0,0,1674,439,TARRANT,439,2201674,8096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1677,266,0,14,21,35,0,1,0,1,36,1677,439,TARRANT,439,2201677,8098,347,239,108,16,24,67,89,335,231,104,14,22,63,85,Taylor Rehmet,97.22222222222221,2.7777777777777777,252,0,16,16,32,0,52,36,88,120,26.666666666666668,73.33333333333333,94.44444444444444,46.66666666666666,47.777777777777786,23.888888888888886
1678,13,0,0,1,1,0,0,0,0,1,1678,439,TARRANT,439,2201678,8099,76,13,63,5,11,49,58,50,12,38,2,8,29,35,Taylor Rehmet,100.0,0.0,18,0,0,0,0,0,1,0,1,1,0.0,100.0,100.0,100.0,0.0,0.0
1679,0,0,0,0,0,0,0,0,0,0,1679,439,TARRANT,439,2201679,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,
1684,465,0,38,49,87,0,10,9,19,106,1684,439,TARRANT,439,2201684,8101,633,411,222,17,14,189,197,506,370,136,13,5,116,119,Taylor Rehmet,82.0754716981132,17.92452830188679,470,8,65,50,123,3,101,43,147,270,45.55555555555556,54.44444444444444,64.15094339622641,8.888888888888886,55.262054507337524,27.631027253668762
1701,1297,0,46,89,135,0,15,24,39,174,1701,439,TARRANT,439,2201701,8102,2077,970,1107,335,334,379,695,1502,713,789,255,239,243,472,Taylor Rehmet,77.58620689655173,22.413793103448278,1257,7,169,100,276,5,208,92,305,581,47.50430292598967,52.49569707401033,55.17241379310345,4.99139414802066,50.18101964508279,25.0905098225414
1714,4193,14,153,264,431,1,56,58,115,546,1714,439,TARRANT,439,2201714,8105,6552,1533,5019,336,2878,1803,4592,4878,1327,3551,259,2022,1196,3189,Taylor Rehmet,78.93772893772893,21.062271062271062,3857,6,292,196,494,32,715,350,1097,1591,31.04965430546826,68.95034569453175,57.87545787545787,37.90069138906349,19.97476648639438,9.987383243197186
1719,3080,3,140,113,256,0,138,120,258,514,1719,439,TARRANT,439,2201719,8109,3917,2831,1086,171,286,536,793,2991,2223,768,134,201,363,540,Leigh Wambsganss,49.80544747081712,50.19455252918288,2951,15,792,230,1037,34,398,137,569,1606,64.57036114570361,35.429638854296385,-0.3891050583657574,-29.14072229140723,28.751617233041472,14.375808616520736
1722,525,0,18,27,45,1,5,14,20,65,1722,439,TARRANT,439,2201722,8110,626,246,380,35,177,160,336,463,193,270,17,127,114,241,Taylor Rehmet,69.23076923076923,30.76923076923077,487,0,67,36,103,2,95,37,134,237,43.459915611814345,56.540084388185655,38.46153846153845,13.080168776371309,25.381369685167144,12.690684842583572
2026,2041,8,92,107,207,2,51,62,115,322,2026,439,TARRANT,439,2202026,8130,3059,1850,1209,77,250,828,1071,2476,1620,856,51,188,567,751,Taylor Rehmet,64.28571428571429,35.714285714285715,2103,30,366,199,595,49,318,128,495,1090,54.58715596330275,45.412844036697244,28.571428571428577,-9.174311926605505,37.74574049803408,18.872870249017048
2052,2312,4,84,87,175,2,46,53,101,276,2052,439,TARRANT,439,2202052,8137,7856,2849,5007,2019,1620,1256,2844,7241,2671,4570,1878,1495,1091,2560,Taylor Rehmet,63.40579710144928,36.594202898550726,2256,9,268,124,401,16,364,168,548,949,42.2550052687039,57.7449947312961,26.811594202898554,15.489989462592206,11.321604740306348,5.660802370153178
2058,41,0,0,4,4,0,0,0,0,4,2058,439,TARRANT,439,2202058,8139,62,34,28,5,5,17,22,49,29,20,5,5,9,14,Taylor Rehmet,100.0,0.0,36,0,1,0,1,0,3,3,6,7,14.285714285714285,85.71428571428571,100.0,71.42857142857142,28.571428571428584,14.285714285714292
2148,2802,3,48,57,108,1,11,24,36,144,2148,439,TARRANT,439,2202148,8146,8712,1268,7444,355,1679,5416,7010,6220,1110,5110,303,1239,3549,4758,Taylor Rehmet,75.0,25.0,2879,2,140,105,247,20,345,183,548,795,31.069182389937104,68.93081761006289,50.0,37.861635220125784,12.138364779874216,6.069182389937112
2161,1836,4,24,59,87,1,14,21,36,123,2161,439,TARRANT,439,2202161,8148,4733,1739,2994,1016,1072,863,1904,4367,1634,2733,946,992,743,1716,Taylor Rehmet,70.73170731707317,29.268292682926827,1680,3,101,55,159,6,258,128,392,551,28.85662431941924,71.14337568058076,41.463414634146346,42.28675136116152,-0.8233367270151746,-0.4116683635075873
2190,331,0,7,12,19,0,11,10,21,40,2190,439,TARRANT,439,2202190,8156,613,211,402,16,59,314,371,480,193,287,16,42,218,258,Leigh Wambsganss,47.5,52.5,332,1,48,21,70,1,34,28,63,133,52.63157894736842,47.368421052631575,-5.0,-5.2631578947368425,0.2631578947368425,0.1315789473684248
2228,2377,8,145,151,304,5,96,124,225,529,2228,439,TARRANT,439,2202228,8167,2895,2035,860,229,224,358,568,2340,1704,636,178,166,251,412,Taylor Rehmet,57.46691871455577,42.53308128544423,2406,32,604,245,881,34,416,154,604,1485,59.32659932659933,40.67340067340067,14.933837429111534,-18.653198653198658,33.58703608231019,16.793518041155096
2246,1156,5,69,80,154,3,59,52,114,268,2246,439,TARRANT,439,2202246,8170,1405,1033,372,77,86,174,253,1173,903,270,52,66,129,191,Taylor Rehmet,57.46268656716418,42.53731343283582,1174,20,286,130,436,26,221,81,328,764,57.06806282722513,42.93193717277487,14.925373134328353,-14.136125654450254,29.061498788778607,14.530749394389304
2317,1283,4,57,81,142,2,39,47,88,230,2317,439,TARRANT,439,2202317,8196,1687,1043,644,161,148,316,452,1354,898,456,121,104,211,311,Taylor Rehmet,61.73913043478261,38.26086956521739,1314,31,261,130,422,15,240,86,341,763,55.307994757536036,44.69200524246396,23.47826086956522,-10.61598951507208,34.0942503846373,17.047125192318653
