Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,pct_hisp,Rehmet_Pct,Wambsganss_Pct,Vote_Margin_Pct,pct_nonwhite
1075,1050,1,14,37,52,0,3,3,6,58,1075,439,TARRANT,439,2201075,7921,2626,260,2366,28,313,2021,2313,1859,219,1640,16,264,1364,1613,Taylor Rehmet,0.7696115765422696,89.65517241379311,10.344827586206897,79.31034482758622,0.900990099009901
1082,684,2,31,43,76,0,4,9,13,89,1082,439,TARRANT,439,2201082,7927,1633,349,1284,66,90,1116,1194,1200,290,910,51,46,789,834,Taylor Rehmet,0.683404776484997,85.39325842696628,14.606741573033707,70.78651685393258,0.7862829148805879
1088,1357,1,18,50,69,0,9,6,15,84,1088,439,TARRANT,439,2201088,7931,3747,264,3483,36,456,2973,3411,2595,225,2370,28,341,1974,2306,Taylor Rehmet,0.7934347477982386,82.14285714285714,17.857142857142858,64.28571428571428,0.9295436349079264
1094,1743,4,76,145,225,0,17,21,38,263,1094,439,TARRANT,439,2201094,7934,3103,1266,1837,121,495,1185,1663,2595,1172,1423,108,379,888,1257,Taylor Rehmet,0.381888495004834,85.55133079847909,14.44866920152091,71.10266159695817,0.5920077344505318
1109,1611,3,48,107,158,1,10,21,32,190,1109,439,TARRANT,439,2201109,7943,3437,668,2769,117,185,2431,2609,2598,608,1990,92,147,1716,1857,Taylor Rehmet,0.70730288041897,83.15789473684211,16.842105263157894,66.31578947368422,0.8056444573756183
1146,2494,13,156,207,376,2,28,57,87,463,1146,439,TARRANT,439,2201146,7953,4050,1402,2648,141,1576,905,2420,3095,1221,1874,102,1130,603,1699,Taylor Rehmet,0.2234567901234568,81.20950323974083,18.790496760259177,62.41900647948165,0.6538271604938272
1151,1154,4,48,65,117,2,25,22,49,166,1151,439,TARRANT,439,2201151,7956,2565,687,1878,81,1365,411,1758,1916,598,1318,70,951,273,1220,Taylor Rehmet,0.16023391812865498,70.48192771084338,29.518072289156628,40.96385542168675,0.7321637426900585
1170,2841,16,182,207,405,5,49,47,101,506,1170,439,TARRANT,439,2201170,7961,5102,1598,3504,203,1239,2012,3198,3750,1386,2364,132,876,1289,2142,Taylor Rehmet,0.39435515484123873,80.03952569169961,19.960474308300398,60.07905138339921,0.6867894943159545
1175,2639,2,64,122,188,0,49,34,83,271,1175,439,TARRANT,439,2201175,7962,3312,1155,2157,784,689,632,1298,2397,891,1506,567,452,428,868,Taylor Rehmet,0.19082125603864733,69.37269372693727,30.627306273062732,38.74538745387454,0.6512681159420289
1198,595,0,10,27,37,0,0,8,8,45,1198,439,TARRANT,439,2201198,7968,1507,295,1212,73,54,1073,1125,1071,250,821,53,32,725,755,Taylor Rehmet,0.7120106171201062,82.22222222222221,17.77777777777778,64.44444444444443,0.8042468480424685
1227,1618,5,29,82,116,1,6,23,30,146,1227,439,TARRANT,439,2201227,7974,3169,611,2558,353,1622,608,2168,2263,497,1766,246,1120,412,1495,Taylor Rehmet,0.19185863048280213,79.45205479452055,20.54794520547945,58.9041095890411,0.8071946986431051
1376,110,0,0,0,0,0,2,0,2,2,1376,439,TARRANT,439,2201376,8011,4116,1779,2337,3,1601,767,2333,4086,1779,2307,3,1577,761,2303,Leigh Wambsganss,0.18634596695821184,0.0,100.0,-100.0,0.5677842565597667
1408,284,0,6,15,21,0,0,3,3,24,1408,439,TARRANT,439,2201408,8020,372,128,244,7,15,204,219,311,113,198,5,12,169,181,Taylor Rehmet,0.5483870967741935,87.5,12.5,75.0,0.6559139784946236
1415,1760,1,25,68,94,1,4,16,21,115,1415,439,TARRANT,439,2201415,8023,5020,545,4475,116,1609,2735,4283,3461,482,2979,85,1127,1713,2823,Taylor Rehmet,0.5448207171314741,81.73913043478261,18.26086956521739,63.47826086956522,0.8914342629482072
1430,11,0,1,1,2,0,0,0,0,2,1430,439,TARRANT,439,2201430,8030,28,4,24,3,7,14,21,21,2,19,1,7,11,18,Taylor Rehmet,0.5,100.0,0.0,100.0,0.8571428571428571
1437,600,1,24,38,63,0,16,18,34,97,1437,439,TARRANT,439,2201437,8034,975,400,575,73,153,343,486,759,354,405,56,121,215,332,Taylor Rehmet,0.3517948717948718,64.94845360824742,35.051546391752574,29.896907216494846,0.5897435897435898
1460,2717,6,51,120,177,1,19,23,43,220,1460,439,TARRANT,439,2201460,8043,7568,1137,6431,233,4658,1531,6091,5579,1023,4556,178,3289,1065,4297,Taylor Rehmet,0.20229915433403806,80.45454545454545,19.545454545454547,60.90909090909091,0.849762156448203
1473,355,0,7,16,23,0,4,1,5,28,1473,439,TARRANT,439,2201473,8046,382,73,309,7,6,293,298,260,59,201,6,4,189,192,Taylor Rehmet,0.7670157068062827,82.14285714285714,17.857142857142858,64.28571428571428,0.8089005235602095
1476,150,0,4,10,14,0,0,0,0,14,1476,439,TARRANT,439,2201476,8047,360,61,299,4,16,282,294,247,57,190,2,12,175,185,Taylor Rehmet,0.7833333333333333,100.0,0.0,100.0,0.8305555555555556
1479,277,0,8,10,18,0,2,1,3,21,1479,439,TARRANT,439,2201479,8049,507,69,438,10,87,341,420,368,62,306,10,77,217,289,Taylor Rehmet,0.6725838264299803,85.71428571428571,14.285714285714285,71.42857142857142,0.863905325443787
1490,669,0,20,28,48,0,7,15,22,70,1490,439,TARRANT,439,2201490,8053,1377,369,1008,76,757,168,914,1058,316,742,63,550,127,666,Taylor Rehmet,0.12200435729847495,68.57142857142857,31.428571428571427,37.14285714285714,0.7320261437908496
1550,40,0,2,0,2,0,0,0,0,2,1550,439,TARRANT,439,2201550,8064,73,3,70,1,22,47,69,45,3,42,0,16,25,41,Taylor Rehmet,0.6438356164383562,100.0,0.0,100.0,0.958904109589041
1589,298,0,9,16,25,0,1,6,7,32,1589,439,TARRANT,439,2201589,8072,377,169,208,69,87,53,135,317,155,162,49,76,38,112,Taylor Rehmet,0.14058355437665782,78.125,21.875,56.25,0.5517241379310345
1610,37,0,0,5,5,0,0,3,3,8,1610,439,TARRANT,439,2201610,8079,74,34,40,4,10,26,36,47,23,24,4,10,10,20,Taylor Rehmet,0.35135135135135137,62.5,37.5,25.0,0.5405405405405406
1611,21,0,1,1,2,0,0,2,2,4,1611,439,TARRANT,439,2201611,8080,36,9,27,0,0,27,27,26,4,22,0,0,22,22,Tie,0.75,50.0,50.0,0.0,0.75
1617,40,0,2,3,5,0,0,2,2,7,1617,439,TARRANT,439,2201617,8081,88,28,60,0,3,48,51,68,26,42,0,2,31,33,Taylor Rehmet,0.5454545454545454,71.42857142857143,28.57142857142857,42.85714285714286,0.6818181818181818
1622,49,0,1,1,2,0,0,0,0,2,1622,439,TARRANT,439,2201622,8084,62,22,40,8,7,22,29,45,16,29,8,7,11,18,Taylor Rehmet,0.3548387096774194,100.0,0.0,100.0,0.6451612903225806
1633,31,0,0,4,4,0,0,2,2,6,1633,439,TARRANT,439,2201633,8089,75,31,44,0,0,41,41,66,28,38,0,0,38,38,Taylor Rehmet,0.5466666666666666,66.66666666666666,33.33333333333333,33.33333333333333,0.5866666666666667
1678,13,0,0,1,1,0,0,0,0,1,1678,439,TARRANT,439,2201678,8099,76,13,63,5,11,49,58,50,12,38,2,8,29,35,Taylor Rehmet,0.6447368421052632,100.0,0.0,100.0,0.8289473684210527
1701,1297,0,46,89,135,0,15,24,39,174,1701,439,TARRANT,439,2201701,8102,2077,970,1107,335,334,379,695,1502,713,789,255,239,243,472,Taylor Rehmet,0.18247472315840155,77.58620689655173,22.413793103448278,55.17241379310345,0.5329802599903707
1714,4193,14,153,264,431,1,56,58,115,546,1714,439,TARRANT,439,2201714,8105,6552,1533,5019,336,2878,1803,4592,4878,1327,3551,259,2022,1196,3189,Taylor Rehmet,0.2751831501831502,78.93772893772893,21.062271062271062,57.87545787545787,0.7660256410256411
1722,525,0,18,27,45,1,5,14,20,65,1722,439,TARRANT,439,2201722,8110,626,246,380,35,177,160,336,463,193,270,17,127,114,241,Taylor Rehmet,0.25559105431309903,69.23076923076923,30.76923076923077,38.46153846153845,0.6070287539936102
1845,2157,4,94,158,256,0,49,63,112,368,1845,439,TARRANT,439,2201845,8125,3571,1745,1826,497,598,640,1216,2613,1348,1265,340,420,429,836,Taylor Rehmet,0.1792215065807897,69.56521739130434,30.434782608695656,39.13043478260869,0.5113413609633156
2052,2312,4,84,87,175,2,46,53,101,276,2052,439,TARRANT,439,2202052,8137,7856,2849,5007,2019,1620,1256,2844,7241,2671,4570,1878,1495,1091,2560,Taylor Rehmet,0.159877800407332,63.40579710144928,36.594202898550726,26.811594202898554,0.637347250509165
2148,2802,3,48,57,108,1,11,24,36,144,2148,439,TARRANT,439,2202148,8146,8712,1268,7444,355,1679,5416,7010,6220,1110,5110,303,1239,3549,4758,Taylor Rehmet,0.6216712580348944,75.0,25.0,50.0,0.8544536271808999
2161,1836,4,24,59,87,1,14,21,36,123,2161,439,TARRANT,439,2202161,8148,4733,1739,2994,1016,1072,863,1904,4367,1634,2733,946,992,743,1716,Taylor Rehmet,0.18233678428058314,70.73170731707317,29.268292682926827,41.463414634146346,0.6325797591379675
2190,331,0,7,12,19,0,11,10,21,40,2190,439,TARRANT,439,2202190,8156,613,211,402,16,59,314,371,480,193,287,16,42,218,258,Leigh Wambsganss,0.5122349102773246,47.5,52.5,-5.0,0.6557911908646004
2655,1085,0,18,30,48,0,10,15,25,73,2655,439,TARRANT,439,2202655,8277,2343,783,1560,102,691,764,1429,1915,730,1185,80,535,547,1069,Taylor Rehmet,0.32607767819035427,65.75342465753424,34.24657534246575,31.506849315068486,0.6658130601792573
2656,97,0,6,1,7,0,2,2,4,11,2656,439,TARRANT,439,2202656,8278,411,131,280,11,83,182,259,312,107,205,8,71,125,193,Taylor Rehmet,0.44282238442822386,63.63636363636363,36.36363636363637,27.272727272727266,0.681265206812652
2657,35,0,0,1,1,0,0,0,0,1,2657,439,TARRANT,439,2202657,8279,102,22,80,2,55,20,74,80,21,59,1,46,11,56,Taylor Rehmet,0.19607843137254902,100.0,0.0,100.0,0.7843137254901961
2670,156,0,2,9,11,0,3,1,4,15,2670,439,TARRANT,439,2202670,8283,306,103,203,3,64,132,192,234,97,137,1,43,95,134,Taylor Rehmet,0.43137254901960786,73.33333333333333,26.666666666666668,46.66666666666666,0.6633986928104575
2743,15,0,0,2,2,0,0,0,0,2,2743,439,TARRANT,439,2202743,8298,30,8,22,5,0,13,13,23,8,15,5,0,6,6,Taylor Rehmet,0.43333333333333335,100.0,0.0,100.0,0.7333333333333333
2744,445,1,6,16,23,0,10,5,15,38,2744,439,TARRANT,439,2202744,8299,898,247,651,71,147,411,551,702,233,469,54,118,271,387,Taylor Rehmet,0.4576837416481069,60.526315789473685,39.473684210526315,21.05263157894737,0.7249443207126949
3041,4060,5,108,135,248,4,90,81,175,423,3041,439,TARRANT,439,2203041,8320,8156,3963,4193,441,1255,2309,3488,6173,3272,2901,335,831,1553,2346,Taylor Rehmet,0.2831044629720451,58.62884160756501,41.371158392434985,17.257683215130022,0.5141000490436488
3139,1497,2,67,59,128,4,44,48,96,224,3139,439,TARRANT,439,2203139,8328,2756,1336,1420,69,407,869,1241,2052,1092,960,47,243,588,820,Taylor Rehmet,0.3153120464441219,57.14285714285714,42.857142857142854,14.285714285714285,0.5152394775036284
3157,2492,2,87,116,205,2,77,37,116,321,3157,439,TARRANT,439,2203157,8332,4688,2342,2346,152,797,1273,2017,3469,1918,1551,105,519,829,1323,Taylor Rehmet,0.2715443686006826,63.862928348909655,36.13707165109034,27.725856697819317,0.5004266211604096
3166,2810,1,82,98,181,0,42,65,107,288,3166,439,TARRANT,439,2203166,8335,7236,2350,4886,323,1745,2737,4373,5173,1984,3189,246,1115,1730,2783,Taylor Rehmet,0.37824765063571036,62.84722222222222,37.15277777777778,25.694444444444443,0.6752349364289663
3247,1896,5,77,43,125,0,39,49,88,213,3247,439,TARRANT,439,2203247,8354,4387,1622,2765,145,1669,843,2449,3205,1321,1884,110,1099,594,1654,Taylor Rehmet,0.1921586505584682,58.68544600938967,41.31455399061033,17.370892018779344,0.6302712559835879
3332,3495,4,111,163,278,1,49,60,110,388,3332,439,TARRANT,439,2203332,8375,6240,2841,3399,730,865,1664,2472,4463,2235,2228,548,472,1080,1523,Taylor Rehmet,0.26666666666666666,71.64948453608247,28.350515463917525,43.298969072164944,0.5447115384615384
3470,159,0,4,1,5,0,6,4,10,15,3470,439,TARRANT,439,2203470,8409,267,119,148,42,11,94,103,195,99,96,23,7,64,71,Leigh Wambsganss,0.352059925093633,33.33333333333333,66.66666666666666,-33.33333333333333,0.5543071161048689
3517,2620,6,99,64,169,5,102,35,142,311,3517,439,TARRANT,439,2203517,8419,4753,2345,2408,328,1199,837,1987,3956,2159,1797,265,858,607,1441,Taylor Rehmet,0.1760993057016621,54.340836012861736,45.659163987138264,8.681672025723472,0.5066273932253313
3552,3695,5,120,173,298,3,67,95,165,463,3552,439,TARRANT,439,2203552,8428,6224,2966,3258,810,1109,1245,2285,4294,2170,2124,557,675,794,1435,Taylor Rehmet,0.20003213367609254,64.36285097192224,35.63714902807775,28.72570194384449,0.5234575835475579
3582,27,0,0,0,0,0,2,10,12,12,3582,439,TARRANT,439,2203582,8440,108,46,62,12,10,32,38,85,41,44,9,4,26,28,Leigh Wambsganss,0.2962962962962963,0.0,100.0,-100.0,0.5740740740740741
3624,403,0,23,11,34,0,19,21,40,74,3624,439,TARRANT,439,2203624,8445,568,243,325,281,22,23,40,380,194,186,158,16,13,26,Leigh Wambsganss,0.040492957746478875,45.94594594594595,54.054054054054056,-8.108108108108105,0.5721830985915493
3637,3043,7,116,129,252,0,47,48,95,347,3637,439,TARRANT,439,2203637,8447,4461,2083,2378,662,719,928,1611,3209,1577,1632,465,451,635,1074,Taylor Rehmet,0.20802510647836808,72.62247838616715,27.37752161383285,45.24495677233429,0.5330643353508182
3669,6,0,1,0,1,0,0,0,0,1,3669,439,TARRANT,439,2203669,8459,11,5,6,2,1,2,3,8,5,3,2,0,0,0,Taylor Rehmet,0.18181818181818182,100.0,0.0,100.0,0.5454545454545454
4006,1307,0,42,67,109,0,5,4,9,118,4006,439,TARRANT,439,2204006,8483,1877,845,1032,53,625,348,954,1586,783,803,43,464,283,741,Taylor Rehmet,0.18540223761321256,92.37288135593221,7.627118644067797,84.74576271186442,0.5498135322322856
4017,3400,7,36,191,234,1,3,21,25,259,4017,439,TARRANT,439,2204017,8485,9380,892,8488,247,1458,6769,8153,6273,682,5591,134,880,4537,5384,Taylor Rehmet,0.7216417910447761,90.34749034749035,9.652509652509652,80.6949806949807,0.9049040511727079
4042,1438,1,26,44,71,0,20,31,51,122,4042,439,TARRANT,439,2204042,8488,3466,1038,2428,359,206,1817,1999,2499,865,1634,293,110,1191,1286,Taylor Rehmet,0.5242354298903635,58.19672131147541,41.80327868852459,16.393442622950815,0.7005193306405078
4048,798,4,8,44,56,0,3,4,7,63,4048,439,TARRANT,439,2204048,8493,2135,139,1996,26,123,1857,1958,1548,121,1427,12,85,1329,1403,Taylor Rehmet,0.8697892271662764,88.88888888888889,11.11111111111111,77.77777777777777,0.9348946135831382
4050,1740,2,27,89,118,2,2,9,13,131,4050,439,TARRANT,439,2204050,8494,4648,365,4283,43,765,3509,4238,3108,264,2844,28,499,2320,2809,Taylor Rehmet,0.7549483648881239,90.07633587786259,9.923664122137405,80.15267175572518,0.9214716006884681
4067,1352,7,40,93,140,0,3,16,19,159,4067,439,TARRANT,439,2204067,8500,3006,192,2814,17,53,2742,2782,2289,155,2134,10,45,2080,2114,Taylor Rehmet,0.9121756487025948,88.0503144654088,11.949685534591195,76.1006289308176,0.936127744510978
4068,1451,4,29,76,109,0,4,4,8,117,4068,439,TARRANT,439,2204068,8501,3900,199,3701,37,126,3567,3667,2807,171,2636,24,84,2548,2616,Taylor Rehmet,0.9146153846153846,93.16239316239316,6.837606837606838,86.32478632478632,0.948974358974359
4073,619,6,6,18,30,1,12,12,25,55,4073,439,TARRANT,439,2204073,8504,1241,386,855,25,404,425,821,843,357,486,18,208,263,463,Taylor Rehmet,0.3424657534246575,54.54545454545454,45.45454545454545,9.090909090909086,0.6889605157131345
4087,584,1,10,49,60,0,0,3,3,63,4087,439,TARRANT,439,2204087,8507,1503,106,1397,6,34,1358,1383,1087,88,999,4,28,966,990,Taylor Rehmet,0.9035262807717898,95.23809523809523,4.761904761904762,90.47619047619047,0.929474384564205
4092,1007,4,22,48,74,0,0,3,3,77,4092,439,TARRANT,439,2204092,8509,2798,126,2672,13,44,2617,2650,2029,105,1924,9,31,1886,1910,Taylor Rehmet,0.9353109363831308,96.1038961038961,3.896103896103896,92.20779220779221,0.9549678341672623
4093,2046,7,34,107,148,0,1,8,9,157,4093,439,TARRANT,439,2204093,8510,5273,317,4956,22,122,4816,4896,3667,273,3394,13,75,3296,3347,Taylor Rehmet,0.9133320690309122,94.26751592356688,5.7324840764331215,88.53503184713375,0.939882419874834
4101,1444,5,52,102,159,0,14,28,42,201,4101,439,TARRANT,439,2204101,8513,3357,640,2717,353,86,2242,2325,2422,527,1895,296,52,1510,1560,Taylor Rehmet,0.6678582067322014,79.1044776119403,20.8955223880597,58.208955223880594,0.8093535895144475
4102,1254,1,23,36,60,0,6,28,34,94,4102,439,TARRANT,439,2204102,8514,3520,902,2618,215,105,2254,2338,2432,746,1686,151,56,1418,1471,Taylor Rehmet,0.6403409090909091,63.829787234042556,36.17021276595745,27.659574468085104,0.74375
4110,996,7,28,110,145,0,1,12,13,158,4110,439,TARRANT,439,2204110,8516,2063,200,1863,15,23,1837,1850,1525,166,1359,8,17,1337,1348,Taylor Rehmet,0.8904507998061076,91.77215189873418,8.227848101265822,83.54430379746836,0.9030538051381484
4121,2618,3,70,122,195,2,44,66,112,307,4121,439,TARRANT,439,2204121,8521,4742,2067,2675,63,115,2434,2520,3595,1788,1807,52,68,1624,1680,Taylor Rehmet,0.513285533530156,63.51791530944625,36.48208469055375,27.035830618892504,0.5641079713201181
4122,2005,7,40,104,151,2,6,14,22,173,4122,439,TARRANT,439,2204122,8522,5837,448,5389,21,145,5196,5311,4006,378,3628,19,87,3493,3569,Taylor Rehmet,0.8901833133458968,87.28323699421965,12.716763005780345,74.5664739884393,0.9232482439609389
4123,2084,1,23,117,141,0,3,10,13,154,4123,439,TARRANT,439,2204123,8523,5406,290,5116,27,86,5013,5079,3798,242,3556,17,61,3477,3525,Taylor Rehmet,0.9273029966703663,91.55844155844156,8.441558441558442,83.11688311688312,0.9463559008509064
4125,691,3,11,19,33,0,7,10,17,50,4125,439,TARRANT,439,2204125,8525,1759,538,1221,12,68,1127,1185,1256,433,823,6,54,739,793,Taylor Rehmet,0.640704945992041,66.0,34.0,32.0,0.694144400227402
4138,1160,1,8,42,51,0,20,17,37,88,4138,439,TARRANT,439,2204138,8532,2734,773,1961,25,51,1850,1887,1943,661,1282,16,27,1206,1226,Taylor Rehmet,0.6766642282370153,57.95454545454546,42.04545454545455,15.909090909090914,0.7172640819312363
4141,3447,3,73,119,195,0,70,85,155,350,4141,439,TARRANT,439,2204141,8533,7771,2978,4793,928,1483,2333,3740,6110,2561,3549,722,1116,1633,2703,Taylor Rehmet,0.30021876206408443,55.714285714285715,44.285714285714285,11.42857142857143,0.6167803371509458
4159,2043,0,17,80,97,2,18,55,75,172,4159,439,TARRANT,439,2204159,8536,4182,1255,2927,531,99,2240,2321,3038,1040,1998,438,67,1437,1493,Taylor Rehmet,0.5356288857006217,56.395348837209305,43.604651162790695,12.79069767441861,0.6999043519846964
4162,707,0,22,30,52,3,5,4,12,64,4162,439,TARRANT,439,2204162,8537,1948,310,1638,140,109,1387,1486,1317,252,1065,113,46,903,941,Taylor Rehmet,0.7120123203285421,81.25,18.75,62.5,0.8408624229979466
4191,1456,1,34,39,74,0,30,45,75,149,4191,439,TARRANT,439,2204191,8542,2453,1136,1317,179,148,953,1077,1839,964,875,142,74,610,682,Leigh Wambsganss,0.38850387280880555,49.664429530201346,50.33557046979866,-0.6711409395973149,0.5368935996738687
4202,1958,3,41,105,149,1,18,27,46,195,4202,439,TARRANT,439,2204202,8545,3950,1169,2781,42,73,2624,2687,2896,1002,1894,32,43,1776,1816,Taylor Rehmet,0.6643037974683544,76.41025641025641,23.589743589743588,52.82051282051282,0.7040506329113924
4218,1506,3,19,63,85,0,22,36,58,143,4218,439,TARRANT,439,2204218,8548,3322,913,2409,256,48,2085,2125,2424,806,1618,213,37,1349,1382,Taylor Rehmet,0.627633955448525,59.44055944055944,40.55944055944056,18.88111888111888,0.7251655629139073
4222,1276,3,18,59,80,3,13,18,34,114,4222,439,TARRANT,439,2204222,8549,2420,766,1654,44,99,1479,1560,1760,649,1111,31,57,996,1044,Taylor Rehmet,0.6111570247933884,70.17543859649122,29.82456140350877,40.35087719298245,0.6834710743801653
4231,1649,3,31,117,151,0,5,11,16,167,4231,439,TARRANT,439,2204231,8551,4744,255,4489,47,288,4152,4410,3201,216,2985,20,161,2793,2938,Taylor Rehmet,0.8752107925801011,90.41916167664671,9.580838323353294,80.83832335329342,0.946247892074199
4232,2599,0,75,119,194,1,33,45,79,273,4232,439,TARRANT,439,2204232,8552,3425,1349,2076,301,522,1223,1692,2383,1044,1339,239,319,750,1043,Taylor Rehmet,0.35708029197080293,71.06227106227107,28.93772893772894,42.124542124542124,0.6061313868613138
4239,136,0,2,3,5,0,2,3,5,10,4239,439,TARRANT,439,2204239,8555,345,159,186,14,23,149,165,257,124,133,10,9,112,119,Tie,0.4318840579710145,50.0,50.0,0.0,0.5391304347826087
4243,2804,4,98,155,257,1,53,86,140,397,4243,439,TARRANT,439,2204243,8557,3787,1717,2070,84,229,1672,1873,2954,1490,1464,71,158,1146,1292,Taylor Rehmet,0.4415104304198574,64.73551637279597,35.26448362720403,29.47103274559194,0.5466068127805651
4245,198,0,3,6,9,0,0,0,0,9,4245,439,TARRANT,439,2204245A,8558,530,32,498,11,76,416,477,347,25,322,7,47,265,305,Taylor Rehmet,0.7849056603773585,100.0,0.0,100.0,0.939622641509434
4250,2665,11,101,109,221,2,69,47,118,339,4250,439,TARRANT,439,2204250,8560,4015,1718,2297,423,987,837,1774,3057,1495,1562,297,655,544,1187,Taylor Rehmet,0.20846824408468245,65.19174041297934,34.80825958702065,30.383480825958692,0.5721046077210461
4261,3495,3,130,184,317,3,49,64,116,433,4261,439,TARRANT,439,2204261,8565,5927,2543,3384,674,807,1821,2590,4489,2079,2410,523,534,1273,1778,Taylor Rehmet,0.30723806310106294,73.21016166281755,26.78983833718245,46.42032332563511,0.5709465159439852
4285,1228,0,8,31,39,2,7,7,16,55,4285,439,TARRANT,439,2204285,8569,3260,1213,2047,96,879,1053,1886,2292,992,1300,74,531,661,1176,Taylor Rehmet,0.3230061349693252,70.9090909090909,29.09090909090909,41.81818181818181,0.6279141104294479
4290,2631,0,56,118,174,0,36,88,124,298,4290,439,TARRANT,439,2204290,8571,5109,2211,2898,215,213,2404,2580,3759,1820,1939,158,120,1590,1697,Taylor Rehmet,0.47054218046584456,58.38926174496645,41.61073825503356,16.778523489932887,0.5672342924251321
4312,137,0,7,12,19,0,5,5,10,29,4312,439,TARRANT,439,2204312,8572,237,85,152,0,12,132,144,190,74,116,0,10,100,110,Taylor Rehmet,0.5569620253164557,65.51724137931035,34.48275862068966,31.03448275862069,0.6413502109704642
4328,1672,2,38,59,99,0,17,41,58,157,4328,439,TARRANT,439,2204328,8573,4316,1540,2776,210,326,2136,2445,3200,1304,1896,165,243,1411,1642,Taylor Rehmet,0.494902687673772,63.05732484076433,36.94267515923567,26.11464968152866,0.6431881371640408
4338,3146,3,114,113,230,0,87,72,159,389,4338,439,TARRANT,439,2204338,8574,4741,2173,2568,406,644,1424,2023,3398,1663,1735,283,435,943,1361,Taylor Rehmet,0.3003585741404767,59.12596401028277,40.87403598971722,18.25192802056555,0.5416578780847923
4397,427,2,17,27,46,0,14,7,21,67,4397,439,TARRANT,439,2204397,8588,833,340,493,8,23,445,463,647,316,331,8,18,284,301,Taylor Rehmet,0.5342136854741897,68.65671641791045,31.343283582089555,37.31343283582089,0.5918367346938775
4400,380,0,4,18,22,0,6,8,14,36,4400,439,TARRANT,439,2204400,8590,873,376,497,8,25,453,473,671,333,338,4,16,306,319,Taylor Rehmet,0.5189003436426117,61.111111111111114,38.88888888888889,22.22222222222222,0.5693012600229095
